"","CNT","Gender","Mothereduc","HmwPC","Books","Cars","IMM","LEARNMINWEEK","ESCS","EMOSUPS","PV10MATH","PV10SCIE"
"79","FRA",1,3,1,1,4,1,750,4.5305,2.8029,430.975,467.924
"80","FRA",1,4,1,1,4,1,1800,6.9134,4.4814,516.482,545.293
"81","FRA",1,1,1,0,3,1,1750,6.8057,3.6595,451.306,444.944
"82","FRA",1,2,1,1,3,1,1430,5.5561,3.6637,603.77,675.484
"83","FRA",0,1,1,1,3,1,1760,6.7756,4.4814,670.353,627.076
"84","FRA",1,2,1,1,4,1,1860,5.7629,2.5346,679.898,638.81
"85","FRA",1,1,1,1,4,1,1925,6.3769,4.4814,594.918,577.747
"86","FRA",0,1,0,1,3,1,1800,6.0659,2.2621,674.984,662.967
"87","FRA",0,3,1,0,2,1,1020,5.3117,2.7892,439.452,384.744
"88","FRA",1,1,1,1,3,1,1440,6.6721,2.7892,408.63,438.814
"89","FRA",1,2,1,1,3,1,1320,7.2727,4.4814,359.521,376.37
"90","FRA",0,1,1,1,3,1,1540,6.9905,3.6637,592.681,665.017
"91","FRA",1,3,1,1,3,0,1540,4.793,2.7892,572.929,612
"92","FRA",0,1,1,1,3,1,2420,6.7245,4.4814,559.932,495.264
"93","FRA",0,1,1,0,2,1,2760,5.4791,2.7892,605.418,548.188
"94","FRA",0,1,1,1,3,1,2280,6.4533,2.7892,542.161,535.934
"95","FRA",0,1,0,0,3,1,1380,5.553,1,403.627,393.407
"96","FRA",0,1,0,1,3,1,2475,6.9034,2.7892,539.08,589.53
"97","FRA",0,1,1,1,4,1,1080,6.7862,3.9497,549.34,530.538
"98","FRA",0,1,0,1,3,1,1100,6.4491,2.0554,641.916,653.45
"99","FRA",1,1,1,1,3,1,2100,5.2172,2.2651,405.134,372.614
"100","FRA",1,1,0,1,1,0,1210,4.4824,2.7892,459.685,537.586
"101","FRA",0,1,1,1,3,1,2640,6.8768,2.0554,535.082,557.631
"102","FRA",1,1,1,1,2,1,2100,7.1748,4.4814,594.084,560.66
"103","FRA",1,1,0,1,4,1,1400,5.1685,1.8621,510.733,461.464
"104","FRA",0,2,0,0,3,1,900,4.7041,4.4814,313.894,309.277
"105","FRA",1,3,0,1,1,0,2100,4.3297,4.4814,357.473,360.631
"106","FRA",1,4,0,1,4,1,1925,5.372,3.9497,527.584,531.83
"107","FRA",1,2,1,0,4,1,1040,5.7568,2.2621,440.063,473.117
"108","FRA",1,1,1,1,3,1,1650,6.3537,4.4814,580.103,592.204
"109","FRA",0,1,1,1,4,1,1650,7.0775,1.8668,620.891,569.581
"110","FRA",1,3,1,1,2,1,1800,6.468,4.4814,551.071,560.476
"111","FRA",1,1,1,1,3,1,1980,5.5681,2.7892,448.961,538.538
"112","FRA",1,1,1,1,4,1,1760,6.4101,4.4814,584.751,518.663
"113","FRA",0,5,1,1,2,1,1800,4.1079,4.4814,511.273,444.708
"114","FRA",1,3,1,1,3,1,1350,6.181,2.7892,370.433,408.177
"115","FRA",0,1,1,1,2,1,1980,7.2108,4.087,579.512,600.542
"116","FRA",1,1,1,1,4,1,1650,6.7467,2.2621,580.619,589.559
"117","FRA",1,2,1,1,4,1,1650,5.9364,4.4814,534.678,529.638
"118","FRA",1,1,1,1,4,1,550,6.5472,2.7892,484.318,528.444
"119","FRA",1,1,1,1,3,1,1210,7.3346,4.087,543.59,596.218
"120","FRA",0,1,1,1,4,1,1650,6.8479,2.7892,528.402,557.7
"121","FRA",0,1,1,1,2,1,2000,7.1451,2.7892,628.969,658.625
"122","FRA",0,2,1,1,3,1,1980,5.6842,4.4814,374.596,442.811
"123","FRA",0,1,1,1,3,1,1595,5.711,3.9497,603.907,702.748
"124","FRA",0,5,1,0,3,1,1265,4.9793,1,366.056,365.628
"125","FRA",0,1,1,1,3,1,1705,6.6508,4.4814,499.68,489.339
"126","FRA",0,1,1,1,2,1,1550,6.474,2.7892,533.682,513.269
"127","FRA",0,1,1,1,3,1,1650,6.1381,4.4814,486.156,473.375
"128","FRA",1,1,1,1,2,1,800,5.2102,2.8029,442.618,403.486
"129","FRA",1,3,1,0,4,1,660,5.5122,3.9497,404.832,435.273
"130","FRA",0,2,1,1,3,1,1650,6.166,2.8029,565.67,604.425
"131","FRA",0,1,1,1,4,1,1750,6.8749,4.4814,589.104,620.878
"132","FRA",1,1,1,1,2,1,2200,6.8333,4.4814,644.816,583.837
"133","FRA",0,1,1,1,4,1,2420,6.4519,2.0554,577.248,648.748
"134","FRA",1,3,1,1,2,0,1350,5.035,4.4814,499.14,373.257
"135","FRA",0,1,1,1,3,1,2400,5.1776,3.9497,548.089,530.205
"136","FRA",0,2,1,1,4,1,1925,6.1184,2.7892,496.549,420.532
"137","FRA",1,1,1,1,2,1,1540,6.2935,4.4814,504.37,578.027
"138","FRA",0,1,1,1,3,1,1620,6.6149,4.087,452.03,501.292
"139","FRA",0,1,1,1,3,0,1595,7.2949,4.4814,483.022,561.655
"140","FRA",0,1,1,1,4,1,1200,7.3538,4.4814,499.962,612.449
"141","FRA",0,1,1,0,3,1,900,5.9642,1,543.637,575.153
"142","FRA",1,3,1,1,3,1,1250,5.2687,3.6637,564.654,459.999
"143","FRA",1,3,1,1,3,1,1600,5.5953,2.7892,482.238,460.301
"144","FRA",1,1,1,1,2,0,1740,6.7909,4.4814,362.456,373.54
"145","FRA",1,2,1,0,3,1,1500,5.325,4.4814,503.113,386.22
"146","FRA",0,2,0,1,2,1,1260,4.1975,2.7892,401.971,424.64
"147","FRA",1,2,1,1,1,1,1760,5.0896,3.6595,433.24,336.177
"148","FRA",1,3,1,1,2,1,1170,4.6014,4.4814,320.393,372.52
"149","FRA",0,2,1,0,2,1,1760,5.025,3.9497,529.807,561.986
"150","FRA",1,1,1,1,4,1,1920,6.1291,4.4814,547.046,467.693
"151","FRA",0,1,1,0,2,1,1650,5.9212,2.2599,542.763,521.058
"152","FRA",1,1,1,1,3,1,1800,6.5231,3.9497,589.169,556.195
"153","FRA",0,1,1,1,3,1,1500,6.2332,4.4814,593.485,524.682
"154","FRA",1,3,1,1,4,1,1815,7.046,4.4814,490.294,481.605
"155","FRA",1,1,1,1,3,1,540,6.0881,4.4814,595.592,601.036
"156","FRA",1,1,1,1,3,1,3000,6.8748,4.087,561.73,493.731
"157","FRA",0,2,0,0,3,1,1320,4.7661,2.7892,527.356,488.268
"158","FRA",1,1,1,1,3,1,1200,6.8842,3.6637,504.196,484.727
"159","FRA",0,2,1,1,3,1,1440,4.8535,3.6637,508.467,446.582
"160","FRA",0,2,1,1,3,1,1320,6.3761,4.4814,540.564,495.171
"161","FRA",1,1,1,1,2,1,1450,6.5196,4.4814,524.89,583.829
"162","FRA",0,1,0,1,4,1,1705,6.0362,2.7892,487.397,493.689
"163","FRA",0,1,1,1,3,1,1925,7.2351,2.7892,699.489,667.107
"164","FRA",1,1,1,1,3,1,2420,5.9808,2.7892,460.119,480.389
"165","FRA",0,3,0,1,3,1,1620,4.7971,1.8668,304.674,355.834
"166","FRA",1,1,1,1,3,1,1760,7.6522,3.9497,511.81,579.155
"167","FRA",1,2,0,1,3,1,1925,5.873,4.4814,514.604,431.381
"168","FRA",1,1,1,1,3,1,1925,5.544,4.4814,431.796,422.152
"169","FRA",1,1,1,1,2,1,2310,6.2991,2.7892,402.869,419.375
"170","FRA",0,1,1,1,3,1,1760,7.0496,3.6637,596.506,631.044
"171","FRA",0,2,0,1,3,1,1200,5.7406,2.3811,549.486,607.081
"172","FRA",1,1,1,1,3,1,1600,6.4062,4.4814,574.232,541.868
"173","FRA",1,1,1,1,4,1,1450,7.2905,2.1521,584.28,580.367
"174","FRA",0,1,1,1,2,1,1680,4.7381,2.3777,393.903,443.319
"175","FRA",1,1,1,1,3,1,1760,7.3095,2.3811,566.3,608.987
"176","FRA",0,2,0,0,3,1,1705,5.936,4.4814,405.306,389.981
"177","FRA",1,2,1,1,3,1,2160,4.4499,4.4814,417.279,341.266
"178","FRA",0,1,1,1,4,1,1550,7.4452,3.6637,539.258,568.273
"179","FRA",0,2,1,1,3,1,1400,5.5776,1.8644,548.88,583.698
"180","FRA",1,2,1,1,3,1,1750,6.1734,4.4814,504.992,447.785
"181","FRA",0,1,1,0,2,1,1560,5.0367,3.809,451.094,547.797
"182","FRA",1,1,1,1,2,1,1800,5.9161,2.7892,622.69,519.192
"183","FRA",1,4,1,1,2,0,660,4.2829,4.087,390.684,498.251
"184","FRA",0,1,1,1,2,1,1650,6.3075,3.6595,522.7,566.005
"185","FRA",1,2,1,1,3,1,2125,4.3354,2.7892,350.571,343.95
"186","FRA",0,3,0,0,1,1,1430,4.526,3.9497,456.119,429.889
"187","FRA",1,1,1,1,2,1,935,7.0894,4.4814,479.681,514.405
"188","FRA",1,2,1,1,2,1,1650,5.7829,2.0554,515.519,594.611
"189","FRA",1,1,1,1,4,1,1925,5.2037,4.4814,435.761,417.691
"190","FRA",1,2,0,1,3,1,1750,4.8095,2.7892,432.354,350.705
"191","FRA",0,1,1,1,3,1,2200,6.2879,2.7892,501.103,472.702
"192","FRA",1,1,1,0,3,1,1750,5.289,2.7892,490.571,488.005
"193","FRA",1,3,1,1,3,1,1100,5.0957,2.7892,535.551,489.541
"194","FRA",0,1,1,1,2,1,1560,6.6168,2.7768,592.315,660.104
"195","FRA",0,1,1,1,3,1,1375,6.4885,4.4814,397.866,454.487
"196","FRA",1,1,1,1,4,1,780,5.7078,4.4814,449.229,480.905
"197","FRA",0,1,1,1,3,1,1540,5.6536,3.6637,583.873,610.741
"198","FRA",1,1,1,1,3,1,780,5.8636,2.7892,420.981,394.247
"199","FRA",1,2,0,1,4,1,1750,4.9616,2.7892,415.332,451.888
"200","FRA",1,1,1,1,4,1,1320,6.8353,2.8029,561.009,576.809
"201","FRA",0,1,1,1,3,1,1650,6.9607,2.7892,563.278,554.199
"202","FRA",1,1,0,1,4,1,1815,6.8422,4.4814,575.879,565.835
"203","FRA",1,1,1,1,3,1,1925,6.8345,2.7892,560.098,646.011
"204","FRA",1,1,1,1,4,1,2520,5.0947,2.2621,381.168,455.976
"205","FRA",1,5,1,1,2,1,490,4.0797,4.0832,296.092,354.778
"206","FRA",1,1,1,1,3,1,1485,7.3945,4.087,641.382,618.345
"207","FRA",0,3,1,1,4,1,1650,5.452,4.4814,614.389,634.17
"208","FRA",1,2,1,1,3,1,2310,5.5385,4.4814,447.899,405.716
"209","FRA",0,1,1,1,1,1,2090,6.0747,2.2651,555.954,565.694
"210","FRA",1,1,1,1,3,1,1815,6.7133,4.4814,597.835,545.602
"211","FRA",0,1,1,1,3,1,1320,6.6091,2.1548,467.181,405.769
"212","FRA",1,1,1,1,3,1,1265,6.5102,3.6637,540.121,654.054
"213","FRA",0,3,1,1,3,1,1760,5.1233,2.7892,519.068,525.423
"214","FRA",0,2,1,1,3,0,720,5.3327,2.7892,424.779,445.363
"215","FRA",1,1,0,1,2,1,2600,4.8177,3.9497,626.973,583.273
"216","FRA",0,1,1,0,2,1,1650,6.4349,2.8029,582.377,511.675
"217","FRA",1,1,1,1,2,1,1100,6.3223,2.7892,424.896,395.586
"218","FRA",0,1,1,1,3,1,1500,7.0979,1.7757,641.458,715.704
"219","FRA",0,1,1,1,3,1,1500,6.3636,2.5346,550.903,420.462
"220","FRA",1,1,1,1,2,1,1925,6.2576,2.3811,553.634,579.803
"221","FRA",0,2,1,0,3,1,2120,4.7473,2.8029,390.823,438.349
"222","FRA",0,2,1,1,4,1,2035,6.581,2.7892,468.296,450.728
"223","FRA",0,1,1,1,3,1,1705,7.1332,2.8029,621.926,645.85
"224","FRA",0,1,1,1,2,1,1265,6.4432,2.8029,470.852,491.661
"225","FRA",0,1,1,1,3,1,1600,6.08,4.4814,476.716,448.666
